Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46
Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46
BehaviorSpace results (NetLogo 6.2.0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trabalho_Pratico_ModeloMelhorado.nlogo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Exp4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/12/2021 15:57:37:515 +0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-16;16;-16;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[run number];2;2;2;2;2;3;3;3;3;3;4;4;4;4;4;5;5;5;5;5;6;6;6;6;6;7;7;7;7;7;8;8;8;8;8;9;9;9;9;9;10;10;10;10;10
Retirar_Energia;10;;;;;10;;;;;10;;;;;10;;;;;10;;;;;10;;;;;10;;;;;10;;;;;10;;;;
CacadoresNum;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;
limpadoresnum;25;;;;;25;;;;;25;;;;;25;;;;;25;;;;;25;;;;;25;;;;;25;;;;;25;;;;
nDepositos;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;
Cor_Limpadores;135;;;;;135;;;;;135;;;;;135;;;;;135;;;;;135;;;;;135;;;;;135;;;;;135;;;;
Limite_residuos;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;;2;;;;
energiainicial;100;;;;;100;;;;;100;;;;;100;;;;;100;;;;;100;;;;;100;;;;;100;;;;;100;;;;
Cor_Comiloes;25;;;;;25;;;;;25;;;;;25;;;;;25;;;;;25;;;;;25;;;;;25;;;;;25;;;;
Lixo_toxico;5;;;;;5;;;;;5;;;;;5;;;;;5;;;;;5;;;;;5;;;;;5;;;;;5;;;;
Alimento;15;;;;;15;;;;;15;;;;;15;;;;;15;;;;;15;;;;;15;;;;;15;;;;;15;;;;
Add_Energia;10;;;;;10;;;;;10;;;;;10;;;;;10;;;;;10;;;;;10;;;;;10;;;;;10;;;;
Reproducao?;true;;;;;true;;;;;true;;;;;true;;;;;true;;;;;true;;;;;true;;;;;true;;;;;true;;;;
Lixo_Normal;5;;;;;5;;;;;5;;;;;5;;;;;5;;;;;5;;;;;5;;;;;5;;;;;5;;;;
ComiloesNum;25;;;;;25;;;;;25;;;;;25;;;;;25;;;;;25;;;;;25;;;;;25;;;;;25;;;;
Cor_Cacadores;5;;;;;5;;;;;5;;;;;5;;;;;5;;;;;5;;;;;5;;;;;5;;;;;5;;;;
ticc;800;;;;;800;;;;;800;;;;;800;;;;;800;;;;;800;;;;;800;;;;;800;;;;;800;;;;
[steps];1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[initial & final values];count comiloes;count limpadores;count cacadores;count ovoComilao;count turtles;count comiloes;count limpadores;count cacadores;count ovoComilao;count turtles;count comiloes;count limpadores;count cacadores;count ovoComilao;count turtles;count comiloes;count limpadores;count cacadores;count ovoComilao;count turtles;count comiloes;count limpadores;count cacadores;count ovoComilao;count turtles;count comiloes;count limpadores;count cacadores;count ovoComilao;count turtles;count comiloes;count limpadores;count cacadores;count ovoComilao;count turtles;count comiloes;count limpadores;count cacadores;count ovoComilao;count turtles;count comiloes;count limpadores;count cacadores;count ovoComilao;count turtles
;64;18;2;3808;3892;37;10;2;1727;1776;57;18;2;3052;3129;89;15;2;6291;6397;58;18;2;3040;3118;70;15;2;7463;7550;35;9;2;579;625;31;13;2;320;366;53;15;2;1305;1375
